#Dataset,disponibilidad,integridad,validez,procesabilidad,relevancia_analítica,data_quality_eval
1,0.5,1,1,0.6666666667,0.3333333333,3.5
2,1,1,0.75,1,0.5,4.25
3,1,1,0.5,1,0.25,3.75
4,1,1,0.5,0.6666666667,0.5,3.666666667
5,1,1,1,1,0.25,4.25
6,1,1,0.5,0.6666666667,0.5,3.666666667
7,1,1,1,0.6666666667,0.3333333333,4
8,1,1,0.5,0.6666666667,0.3333333333,3.5
9,1,1,0.5,1,0.08333333333,3.583333333
10,0.75,1,1,0.6666666667,0.5833333333,4
11,1,1,0.5,1,0.5833333333,4.083333333
12,1,1,1,1,0.3333333333,4.333333333
13,1,1,1,1,0.3333333333,4.333333333
14,1,1,0.75,1,0.1666666667,3.916666667
15,1,1,0.5,1,0.25,3.75
16,1,1,1,1,0.25,4.25
17,1,1,0.5,1,0.4166666667,3.916666667
18,1,1,0.5,1,0.25,3.75
19,1,1,1,1,0.3333333333,4.333333333
20,1,1,1,1,0.3333333333,4.333333333
21,1,1,0.75,1,0.25,4
22,1,1,1,1,0.5,4.5
23,1,1,1,1,0.3333333333,4.333333333
24,1,1,1,1,0.4166666667,4.416666667
25,1,1,0.5,1,0.25,3.75
26,1,1,1,1,0.1666666667,4.166666667
27,1,1,0.5,1,0.5833333333,4.083333333
28,1,1,0.5,1,0.5833333333,4.083333333
29,1,1,0.5,1,0.5833333333,4.083333333
30,1,1,1,1,0.25,4.25
33,1,1,0.5,1,0.25,3.75
35,1,1,0.5,1,0.4166666667,3.916666667
36,1,1,0.5,1,0.25,3.75
38,1,1,0.5,1,0.25,3.75
39,1,1,0.75,1,0.4166666667,4.166666667
41,1,1,1,0.6666666667,0.4166666667,4.083333333
42,1,1,1,0.6666666667,0.4166666667,4.083333333
43,1,1,0.5,1,0.5,4
44,1,1,1,1,0.5,4.5
45,1,1,1,1,0.4166666667,4.416666667
47,1,1,1,1,0.3333333333,4.333333333
34,1,1,0.5,1,0.5,4